Constituency_No,Constituency_Name,Constituency_Type,Total_Electors,Candidate_S_No,Candidate_Name,Gender,Age,Category,Party,Symbol,General_Votes,Postal_Votes,Total_Votes,Percentage_of_Valid_Votes,Percentage_of_Total_Electors,Turnout_General,Turnout_Postal,Turnout_Total,Turnout_Percentage
11,NANGLOI JAT,GENERAL,268969,2,RAGHUVINDER SHOKEEN,MALE,58,GENERAL,AAAP,Broom,48907,114,49021,30.77,18.23,158762,560,159322,59.23
11,NANGLOI JAT,GENERAL,268969,3,ROHIT CHOUDHARY,MALE,45,GENERAL,INC,Hand,31918,110,32028,20.1,11.91,158762,560,159322,59.23
11,NANGLOI JAT,GENERAL,268969,4,NOTA,,,NOTA,NOTA,915,9,924,0.58,0.34,158762,560,159322,59.23
11,NANGLOI JAT,GENERAL,268969,5,MUKESH KUMAR,MALE,39,SC,BSP,Elephant,792,3,795,0.5,0.3,158762,560,159322,59.23
11,NANGLOI JAT,GENERAL,268969,6,YATENDER SHARMA,MALE,38,GENERAL,AAS,Battery Torch,389,1,390,0.24,0.14,158762,560,159322,59.23
11,NANGLOI JAT,GENERAL,268969,7,DILIP KUMAR SHARMA,MALE,42,GENERAL,IND,Auto-rickshaw,373,0,373,0.23,0.14,158762,560,159322,59.23
11,NANGLOI JAT,GENERAL,268969,8,RAM SAJIVAN,MALE,38,SC,PPID,Basket containing Fruits,204,1,205,0.13,0.08,158762,560,159322,59.23
11,NANGLOI JAT,GENERAL,268969,9,KANCHAN SHARMA,FEMALE,34,GENERAL,RSHTMNVP,Nagrik,162,0,162,0.1,0.06,158762,560,159322,59.23
11,NANGLOI JAT,GENERAL,268969,10,MAHENDER SINGH RATHOR,MALE,69,GENERAL,RLSP,Almirah,152,0,152,0.1,0.06,158762,560,159322,59.23
12,MANGOL PURI,SC,190095,1,RAJ KUMAR CHAUHAN,MALE,67,SC,BJP,Lotus,61805,202,62007,50.23,32.62,123127,323,123450,64.94
12,MANGOL PURI,SC,190095,2,DHARAM RAKSHAK ALIAS RAKESH JATAV,MALE,46,SC,AAAP,Broom,55659,93,55752,45.16,29.33,123127,323,123450,64.94
12,MANGOL PURI,SC,190095,3,HANUMAN SAHAY ALIAS HANUMAN CHAUHAN,MALE,58,SC,INC,Hand,3761,23,3784,3.07,1.99,123127,323,123450,64.94
12,MANGOL PURI,SC,190095,4,NOTA,,,NOTA,NOTA,760,2,762,0.62,0.4,123127,323,123450,64.94
12,MANGOL PURI,SC,190095,5,MUKESH KUMAR,MALE,51,SC,BSP,Elephant,721,3,724,0.59,0.38,123127,323,123450,64.94
